SR,Elevation,DS,Urban,Agri,Forest
9,105,38,3.86,91.2,4.94
7,115,33,1.90,98.02,0.08
7,75,57,1.73,78.25,20.02
8,180,14.5,0.31,83.72,15.96
8,138,23.5,0.70,32.22,67.08
1,520,21,0.00,11.12,88.88
3,300,37.6,0.87,8.65,90.48
11,47,65,0.95,34.09,64.96
6,153,35,0.30,20.87,78.83
1,890,9.5,0.00,6.19,93.81
2,657,36,0.34,6.43,92.61
10,180,26,0.58,95.86,3.56
1,640,7,0.00,22.67,77.33
13,95,287,1.04,42.43,56.29
11,95,191,1.67,63.47,34.36
8,145,191,1.68,70.97,27.34
1,190,10.6,0.00,83.67,16.33
14,83,265,2.51,57.11,40.11
11,84,32,0.01,85.88,14.11
